Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
SE1_onshore_wind,1,1,1,1,2400,-1,0,95000,40000,0.1,0,0,0,0,SE1,1
SE2_onshore_wind,2,1,1,1,5400,-1,0,95000,40000,0.1,0,0,0,0,SE2,1
SE3_onshore_wind,3,1,1,1,4500,-1,0,95000,40000,0.1,0,0,0,0,SE3,1
SE4_onshore_wind,4,1,1,1,1700,-1,0,95000,40000,0.1,0,0,0,0,SE4,1
SE4_offshore_wind,4,1,1,1,200,-1,0,200000,80000,0.1,0,0,0,0,SE4,1
SE3_solar_pv,3,1,1,1,1800,-1,0,80000,18000,0,0,0,0,0,SE3,1
SE4_solar_pv,4,1,1,1,600,-1,0,80000,18000,0,0,0,0,0,SE4,1
NO1_onshore_wind,5,1,1,1,500,-1,0,95000,40000,0.1,0,0,0,0,NO1,1
NO2_onshore_wind,6,1,1,1,1500,-1,0,95000,40000,0.1,0,0,0,0,NO2,1
NO3_onshore_wind,7,1,1,1,2000,-1,0,95000,40000,0.1,0,0,0,0,NO3,1
NO4_onshore_wind,8,1,1,1,1000,-1,0,95000,40000,0.1,0,0,0,0,NO4,1
NO5_onshore_wind,9,1,1,1,200,-1,0,95000,40000,0.1,0,0,0,0,NO5,1
FI_onshore_wind,10,1,1,1,6900,-1,0,95000,40000,0.1,0,0,0,0,FI,1
FI_solar_pv,10,1,1,1,700,-1,0,80000,18000,0,0,0,0,0,FI,1
DK1_onshore_wind,11,1,1,1,3400,-1,0,95000,40000,0.1,0,0,0,0,DK1,1
DK2_onshore_wind,12,1,1,1,700,-1,0,95000,40000,0.1,0,0,0,0,DK2,1
DK1_offshore_wind,11,1,1,1,1700,-1,0,200000,80000,0.1,0,0,0,0,DK1,1
DK2_offshore_wind,12,1,1,1,400,-1,0,200000,80000,0.1,0,0,0,0,DK2,1
DK1_solar_pv,11,1,1,1,2000,-1,0,80000,18000,0,0,0,0,0,DK1,1
DK2_solar_pv,12,1,1,1,1000,-1,0,80000,18000,0,0,0,0,0,DK2,1
