Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4
50000,1,1,1,2000,1,8760,8760,1,2651.3,3275.8,11174.8,3924.2
,2,0.9,0.04,1800,,,,2,2479.3,3152.6,10552.6,3760.6
,3,0.55,0.024,1100,,,,3,2370.8,2968.6,10131.7,3532.6
,4,0.2,0.003,400,,,,4,2344.1,2929.2,9960.6,3490.8
,,,,,,,,5,2427.7,3049.3,10234.5,3663.3
,,,,,,,,6,2675.7,3289.3,11317.2,4027.9
,,,,,,,,7,2931.1,3651.6,12371.1,4378.6
,,,,,,,,8,3149.3,4008.0,13653.1,4847.6
,,,,,,,,9,3275.6,4082.9,13804.9,4971.9
,,,,,,,,10,3301.9,4014.8,13770.8,4838.1
,,,,,,,,11,3082.0,3914.3,13282.3,4725.6
,,,,,,,,12,2953.0,3712.8,12572.5,4441.4
,,,,,,,,13,2922.2,3583.7,12284.7,4300.2
,,,,,,,,14,2912.7,3592.5,12214.6,4265.4
,,,,,,,,15,2908.4,3720.8,12637.4,4414.0
,,,,,,,,16,3101.6,3792.5,13156.5,4654.3
,,,,,,,,17,3184.9,4086.4,13675.2,4881.6
,,,,,,,,18,3349.8,4169.9,14500.5,5114.5
,,,,,,,,19,3482.0,4255.3,14490.5,5121.9
,,,,,,,,20,3363.3,4194.5,14350.8,4999.8
,,,,,,,,21,3244.5,4003.4,13526.5,4896.9
,,,,,,,,22,3053.8,3786.3,13019.3,4619.4
,,,,,,,,23,2931.5,3691.3,12310.8,4400.0
,,,,,,,,24,2859.1,3542.8,12213.7,4267.5
,,,,,,,,25,2618.1,3334.3,11350.5,4018.2
,,,,,,,,26,2487.9,3151.5,10712.2,3763.1
,,,,,,,,27,2379.6,2948.4,10130.5,3526.4
,,,,,,,,28,2325.8,2933.1,9967.6,3498.4
,,,,,,,,29,2411.7,3070.0,10211.0,3634.9
,,,,,,,,30,2700.2,3378.8,11316.0,4030.8
,,,,,,,,31,2923.6,3752.1,12517.4,4379.6
,,,,,,,,32,3170.0,3934.0,13625.1,4730.5
,,,,,,,,33,3251.1,4080.1,14213.3,4919.8
,,,,,,,,34,3258.7,4109.8,13848.4,4874.3
,,,,,,,,35,3119.0,3901.0,13217.7,4630.7
,,,,,,,,36,2971.1,3709.6,12676.7,4523.5
,,,,,,,,37,2928.2,3609.6,12165.0,4299.2
,,,,,,,,38,2912.5,3596.3,12277.4,4272.4
,,,,,,,,39,2962.2,3652.4,12442.3,4446.1
,,,,,,,,40,3058.0,3847.2,13228.7,4585.3
,,,,,,,,41,3204.0,4026.4,13638.3,4829.5
,,,,,,,,42,3426.1,4169.4,14279.1,5004.6
,,,,,,,,43,3429.5,4263.3,14424.7,5204.6
,,,,,,,,44,3328.7,4228.7,14514.8,5073.4
,,,,,,,,45,3225.5,4080.7,13849.6,4818.3
,,,,,,,,46,3055.9,3864.3,12929.9,4602.8
,,,,,,,,47,2912.0,3663.4,12548.2,4428.9
,,,,,,,,48,2894.1,3578.7,12295.8,4254.3
,,,,,,,,49,2634.6,3344.5,11446.8,3966.8
,,,,,,,,50,2488.1,3185.4,10632.5,3733.2
