Time_Index,SE3_nuclear,SE4_oil_peaker,SE1_biomass_chp,SE2_biomass_chp,SE3_biomass_chp,SE4_biomass_chp,SE1_onshore_wind,SE2_onshore_wind,SE3_onshore_wind,SE4_onshore_wind,SE4_offshore_wind,SE3_solar_pv,SE4_solar_pv,SE1_battery,SE2_battery,SE3_battery,SE4_battery,SE1_hydro_reservoir,SE2_hydro_reservoir,SE3_hydro_reservoir,SE4_hydro_reservoir
1,1.0,1.0,1.0,1.0,1.0,1.0,0.58927,0.38587,0.41864,0.34421,0.61712,0.0,0.0,1.0,1.0,1.0,1.0,0.36822,0.37752,0.33644,0.31002
2,1.0,1.0,1.0,1.0,1.0,1.0,0.58408,0.46513,0.42609,0.40769,0.60496,0.0,0.0,1.0,1.0,1.0,1.0,0.3899,0.36726,0.34607,0.3108
3,1.0,1.0,1.0,1.0,1.0,1.0,0.63163,0.52634,0.41057,0.37067,0.62711,0.0,0.0,1.0,1.0,1.0,1.0,0.36703,0.37699,0.36147,0.30581
4,1.0,1.0,1.0,1.0,1.0,1.0,0.56472,0.49283,0.47377,0.37885,0.514,0.0,0.0,1.0,1.0,1.0,1.0,0.36669,0.35614,0.35295,0.31113
5,1.0,1.0,1.0,1.0,1.0,1.0,0.50695,0.52171,0.52733,0.46173,0.59776,0.0,0.0,1.0,1.0,1.0,1.0,0.38715,0.35606,0.35575,0.31995
6,1.0,1.0,1.0,1.0,1.0,1.0,0.57281,0.49335,0.55723,0.53918,0.5855,0.0,0.0,1.0,1.0,1.0,1.0,0.39177,0.36224,0.36113,0.30298
7,1.0,1.0,1.0,1.0,1.0,1.0,0.62705,0.52659,0.48836,0.49296,0.54243,0.0,0.0,1.0,1.0,1.0,1.0,0.38649,0.38297,0.34088,0.30826
8,1.0,1.0,1.0,1.0,1.0,1.0,0.54075,0.603,0.45839,0.54909,0.62166,0.0,0.0,1.0,1.0,1.0,1.0,0.3929,0.36886,0.36177,0.30486
9,1.0,1.0,1.0,1.0,1.0,1.0,0.60283,0.55118,0.50154,0.58275,0.65619,0.0,0.0,1.0,1.0,1.0,1.0,0.39122,0.37957,0.33612,0.30147
10,1.0,1.0,1.0,1.0,1.0,1.0,0.59975,0.56027,0.41372,0.61006,0.57427,0.0,0.03,1.0,1.0,1.0,1.0,0.37123,0.36724,0.34057,0.31363
11,1.0,1.0,1.0,1.0,1.0,1.0,0.51144,0.56307,0.37143,0.55658,0.53945,0.04995,0.06126,1.0,1.0,1.0,1.0,0.39537,0.38226,0.35385,0.30258
12,1.0,1.0,1.0,1.0,1.0,1.0,0.55035,0.62585,0.31029,0.55404,0.56707,0.06728,0.1263,1.0,1.0,1.0,1.0,0.38083,0.36825,0.34911,0.31006
13,1.0,1.0,1.0,1.0,1.0,1.0,0.54358,0.61892,0.34741,0.56314,0.47763,0.08725,0.10855,1.0,1.0,1.0,1.0,0.39552,0.37513,0.35518,0.32138
