,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1
SE1,z1,1,1,2,3300,Snitt1_SE1_to_SE2,250,0.025,3300,15000,0.95,0
SE2,z2,2,2,3,7300,Snitt2_SE2_to_SE3,220,0.022,7300,15000,0.95,0
SE3,z3,3,3,4,5400,Snitt4_SE3_to_SE4,220,0.022,5400,15000,0.95,0
SE4,z4,4,1,8,700,SE1_to_NO4_Ofoten_AC,150,0.015,700,15000,0.95,0
NO1,z5,5,2,7,1000,SE2_to_NO3_Nea_AC,200,0.020,1000,15000,0.95,0
NO2,z6,6,3,5,2050,SE3_to_NO1_Hasle_AC,180,0.018,2050,15000,0.95,0
NO3,z7,7,1,10,1500,SE1_to_FI_Tornehamn_AC,300,0.030,1500,15000,0.95,0
NO4,z8,8,3,10,1200,SE3_to_FI_FennoSkan_HVDC,250,0.025,1200,15000,0.95,0
NO5,z9,9,3,11,740,SE3_to_DK1_KontiSkan_HVDC,150,0.015,740,15000,0.95,0
FI,z10,10,4,12,1700,SE4_to_DK2_Oresund_AC,40,0.004,1700,15000,0.95,0
DK1,z11,11,5,6,3500,NO1_to_NO2_AC,200,0.020,3500,15000,0.95,0
DK2,z12,12,5,7,500,NO1_to_NO3_AC,250,0.025,500,15000,0.95,0
,,13,5,9,600,NO1_to_NO5_AC,200,0.020,600,15000,0.95,0
,,14,6,9,600,NO2_to_NO5_AC,180,0.018,600,15000,0.95,0
,,15,7,8,600,NO3_to_NO4_AC,300,0.030,600,15000,0.95,0
,,16,7,9,500,NO3_to_NO5_AC,200,0.020,500,15000,0.95,0
,,17,6,11,1632,NO2_to_DK1_Skagerrak_HVDC,150,0.015,1632,15000,0.95,0
